TITLE,CATEGORY,PREDICTION
b'our editors culture picks of the month',6,"entertainment, finance"
b'beyonc\xc3\xa9 shares the first pictures of her newborn twins',5,"sports, entertainment"
b'porsche 911 gt3 speaker showcases an exhaustive amount of detailing',6,"finance, technology"
b'attack on free speech or reality check israel code fuels debate',2,"finance, technology"
b'netflix somehow managed to make a great tv show based on a video game nflx',5,"technology, entertainment"
b'south african park rangers search for 4 escaped lions',6,"entertainment, sports"
b'you can now buy a paperclip from prada for the low low price of 185',1,"lifestyle, finance"
b'the norton core home router covers all facets of internet security',6,"finance, technology"
b'this is probably the closest photo finish well ever see in the tour de france',5,"lifestyle, sports"
b'charting the history of the charts',1,"technology, finance"
b'the making of the last honey hunter',6,"finance, technology"
b'man skirts are happening again',6,"entertainment, sports"
b'kesha explained how her new expletivefilled song woman is all about female empowerment',5,"technology, entertainment"
b'msnbcs scarborough says hes leaving gop',1,"finance, politics"
b'a privacy group is suing trumps election integrity panel for trying to collect voter data',5,"technology, politics"
b'thousands protest in german city of hamburg before g20',4,"finance, politics"
b'an iranian city hit 129 degrees one of hottest temperatures ever seen on earth',1,"technology, finance"
b'the senates plan makes medicaid a time bomb',2,"technology, finance"
b'dating app bumble has a popup lounge in new york where users can drink for free and listen to djs',5,"technology, entertainment"
b'great lakes freighter sinking survivor to share experiences',1,"finance, technology"
b'your puzzle\xe2\x80\x99s done when the electronics says so',4,"finance, entertainment"
b'macrumors giveaway win a pocketsized cameraequipped drone from trndlabs',4,"sports, lifestyle"
b'see you tomorrow in warsaw',4,"finance, entertainment"
b'the conversation',1,"technology, finance"
b'expolitician labor unions  bid for suntimes advances',1,"politics, finance"
b'the man behind trumps religiousfreedom agenda for health care',6,"finance, politics"
b'you can study the business of esports at university now',1,"technology, finance"
